Safford_anergy,Parish_deletional_tolerance,Miao_Egr2,Zheng_Egr2
,,Cyp4f37,
,,Snord64,
,,Crybg3,
,,Pilrb1,
,,Adgrg1,
,,4930544D05Rik,
,,Itgam,
,,Gldc,
,,Baiap3,
,,Fcrla,
,,Cd300c,
,,Faxc,
,,Klra14-ps,
,,Plcd1,
,,Ptpro,
,,Cryba4,
,,Lair1,
,,Dpysl3,
,,Mmp9,
,,Cacnb4,
,,Ccr5,
,,Mt2,
,,Cdc20b,
,,Syce1,
,,Siglech,
,,Slc24a1,
,,Itga1,
,,Ccdc136,
,,Syt14,
,,Cox6a2,
,,Nid1,
,,Plau,
,,Stra6l,
,,Serpinb9,
,,Paqr5,
,,Pls1,
,,Klra17,
,,Muc20,
,,Crybb1,
,,Ccdc184,
,,Fasl,
,,Tbc1d30,
,,Dgkh,
,,Tgm7,
,,Ccr2,
,,Gspt2,
,,Plcd3,
,,Adamts14,
,,Itga2,
,,Esm1,
,,Smoc2,
,,Siglecg,
,,Clip4,
,,Ifitm6,
,,Onecut2,
,,Clec4e,
,,Cdh17,
,,Col8a2,
,,Med12l,
,,Fcer1g,
,,Spp1,
,,Coch,
,,Lmtk3,
,,Ddx3y,
,,Nmnat1,
,,Il12rb2,
,,Klrk1,
,,Tdpoz4,
,,Sh2d1b1,
,,Klrc1,
,,Klrc2,
,,Rcbtb2,
,,Hspb1,
,,Clec10a,
,,Ly6d,
,,Dscam,
,,Cd300ld,
,,Ccr3,
,,Cd79a,
,,Tmem171,
,,Il10,
,,Clgn,
,,4931429I11Rik,
,,Klre1,
,,AA467197,
,,Gm9733,
,,Adgre1,
,,Epha2,
,,Klrb1b,
,,Klrc3,
,,Zfp949,
,,Ebf1,
,,Bex6,
,,Mefv,
,,Arnt2,
,,Clec4a3,
,,Ncr1,
,,Yes1,
,,Slc15a2,
,,Ccr1,
,,Klra3,
,,Sirpb1b,
,,Klk1,
,,Gpx8,
,,Cd209a,
,,Lilrb4a,
,,Serpinb9b,
,,Hcar2,
,,Xkr6,
,,Sirpa,
,,Ttn,
,,Vmn2r96,
,,Bcar3,
,,Thsd4,
,,Clec4a1,
,,Vmn2r98,
,,Sash1,
,,Gcnt2,
,,Blk,
,,Ctnnd2,
,,Lilr4b,
,,Snhg14,
,,Penk,
,,Sirpb1a,
,,Emilin2,
,,Fat1,
,,Phyhip,
,,Epha3,
,,Clec4a4,
,,Cryab,
,,Chil5,
,,Tjp1,
,,Capn11,
